CustomerKey,GeographyKey,CustomerAlternateKey,Title,First Name,Middle Name,Last Name,Name Style,Birth Date,Marital Status,Suffix,Gender,Email Address,Yearly Income,Total Children,Number Children At Home,English Education,Spanish Education,French Education,English Occupation,Spanish Occupation,French Occupation,House Owner Flag,Number Cars Owned,Address Line 1,Address Line 2,Phone,Date First Purchase,Commute Distance,Full Name,Age Breakdown
11602,135,"AW00011602","","Larry","","Gill",False,1977-04-13 00:00:00.000,"S","","M","larry16@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé",0,1,"Am Gallberg 645","","1 (11) 500 555-0125",2008-01-11 00:00:00.000,"2-5 Miles","Larry Gill","45-54"
11603,244,"AW00011603","","Geoffrey","","Gonzalez",False,1977-02-06 00:00:00.000,"S","","M","geoffrey16@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé",0,1,"1538 Golden Meadow","","1 (11) 500 555-0131",2006-07-21 00:00:00.000,"0-1 Miles","Geoffrey Gonzalez","45-54"
11610,269,"AW00011610","","Blake","","Collins",False,1975-04-23 00:00:00.000,"S","","M","blake47@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé",0,1,"4519 Lydia Lane","","1 (11) 500 555-0140",2006-07-13 00:00:00.000,"0-1 Miles","Blake Collins","45-54"
12517,133,"AW00012517","","Alexa","","Watson",False,1977-08-25 00:00:00.000,"S","","F","alexa0@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé",0,1,"Residenz Straße 98","","1 (11) 500 555-0191",2008-04-21 00:00:00.000,"2-5 Miles","Alexa Watson","45-54"
12518,161,"AW00012518","","Jacquelyn","","Dominguez",False,1977-09-27 00:00:00.000,"S","","F","jacquelyn13@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé",0,1,"Werftstr 544","","1 (11) 500 555-0134",2008-02-02 00:00:00.000,"2-5 Miles","Jacquelyn Dominguez","45-54"
12519,265,"AW00012519","","Casey","","Gutierrez",False,1977-12-17 00:00:00.000,"S","","M","casey34@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé",0,1,"2035 Emmons Canyon Lane","","1 (11) 500 555-0115",2007-11-12 00:00:00.000,"0-1 Miles","Casey Gutierrez","45-54"
12714,157,"AW00012714","","Colleen","","Lu",False,1973-07-17 00:00:00.000,"S","","F","colleen11@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé",0,1,"Hüttenstr 20995","","1 (11) 500 555-0174",2008-01-20 00:00:00.000,"2-5 Miles","Colleen Lu","45-54"
12728,131,"AW00012728","","Jeremiah","","Stewart",False,1979-06-26 00:00:00.000,"S","","M","jeremiah44@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé",0,1,"Alte Landstr 9902","","1 (11) 500 555-0129",2007-10-09 00:00:00.000,"1-2 Miles","Jeremiah Stewart","45-54"
12871,233,"AW00012871","","Leah","","Li",False,1976-10-06 00:00:00.000,"S","","F","leah2@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé",0,1,"9405 Curletto Dr.","","1 (11) 500 555-0122",2008-05-12 00:00:00.000,"2-5 Miles","Leah Li","45-54"
13671,173,"AW00013671","","Frank","","Ramos",False,1974-02-07 00:00:00.000,"S","","M","frank25@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé",0,1,"Carlsplatz 43","","1 (11) 500 555-0146",2008-07-31 00:00:00.000,"1-2 Miles","Frank Ramos","45-54"
13826,127,"AW00013826","","Candice","","He",False,1977-11-25 00:00:00.000,"S","","F","candice2@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé",0,1,"Rotthäuser Weg 100","","1 (11) 500 555-0114",2008-05-09 00:00:00.000,"0-1 Miles","Candice He","45-54"
13830,237,"AW00013830","","Andrea","","Cox",False,1977-08-03 00:00:00.000,"S","","F","andrea11@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé",0,1,"1318 Pinehurst Court","","1 (11) 500 555-0136",2008-06-13 00:00:00.000,"2-5 Miles","Andrea Cox","45-54"
13838,263,"AW00013838","","Jill","","Rubio",False,1976-06-27 00:00:00.000,"S","","F","jill29@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé",0,1,"1153 Loma Linda","","1 (11) 500 555-0160",2008-03-14 00:00:00.000,"2-5 Miles","Jill Rubio","45-54"
14838,121,"AW00014838","","Darren","","Alvarez",False,1977-07-26 00:00:00.000,"S","","M","darren26@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé",0,1,"Kappellweg 242","","1 (11) 500 555-0133",2006-05-18 00:00:00.000,"0-1 Miles","Darren Alvarez","45-54"
14839,238,"AW00014839","","Natasha","","Sanz",False,1977-05-18 00:00:00.000,"S","","F","natasha20@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé",0,1,"8489 Seaview Ave.","","1 (11) 500 555-0115",2007-12-03 00:00:00.000,"2-5 Miles","Natasha Sanz","45-54"
14840,277,"AW00014840","","Autumn","","Zhu",False,1977-10-23 00:00:00.000,"S","","F","autumn13@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé",0,1,"5115 Meadowbrook Court","","1 (11) 500 555-0193",2007-08-25 00:00:00.000,"2-5 Miles","Autumn Zhu","45-54"
14848,186,"AW00014848","","George","","Louverdis",False,1975-09-10 00:00:00.000,"S","","M","george5@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé",0,1,"Attaché de Presse","","1 (11) 500 555-0171",2006-11-12 00:00:00.000,"2-5 Miles","George Louverdis","45-54"
14849,142,"AW00014849","","Dwayne","","Martin",False,1975-10-12 00:00:00.000,"S","","M","dwayne0@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé",0,1,"Zollhof 6678","","1 (11) 500 555-0191",2007-10-03 00:00:00.000,"0-1 Miles","Dwayne Martin","45-54"
14991,272,"AW00014991","","Edwin","","Zhao",False,1976-02-26 00:00:00.000,"S","","M","edwin11@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé",0,1,"973 Broadway Street","","1 (11) 500 555-0135",2006-01-19 00:00:00.000,"0-1 Miles","Edwin Zhao","45-54"
16317,263,"AW00016317","","Joel","","Raman",False,1977-09-23 00:00:00.000,"S","","M","joel11@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé",0,1,"9546 Cardinal Ct.","","1 (11) 500 555-0178",2006-08-20 00:00:00.000,"0-1 Miles","Joel Raman","45-54"
16452,232,"AW00016452","","Cassie","","Luo",False,1977-11-21 00:00:00.000,"S","","F","cassie4@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé",0,1,"9428 Mehaffey Way","","1 (11) 500 555-0196",2006-09-05 00:00:00.000,"0-1 Miles","Cassie Luo","45-54"
16453,271,"AW00016453","","Mayra","","Chandra",False,1977-04-09 00:00:00.000,"S","","F","mayra1@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé",0,1,"8614 Lagoon Court","","1 (11) 500 555-0133",2007-10-12 00:00:00.000,"2-5 Miles","Mayra Chandra","45-54"
16458,132,"AW00016458","","Michele","","Ruiz",False,1976-12-19 00:00:00.000,"S","","F","michele37@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé",0,1,"Pascalstr 24","","1 (11) 500 555-0158",2007-09-28 00:00:00.000,"2-5 Miles","Michele Ruiz","45-54"
16460,277,"AW00016460","","Jodi","","Xu",False,1976-11-17 00:00:00.000,"S","","F","jodi5@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé",0,1,"6594 Bent Tree Lane","","1 (11) 500 555-0139",2007-12-17 00:00:00.000,"2-5 Miles","Jodi Xu","45-54"
16461,279,"AW00016461","","Rosa","","Wu",False,1976-02-06 00:00:00.000,"S","","F","rosa7@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé",0,1,"939 Vista Del Diablo","","1 (11) 500 555-0155",2006-09-02 00:00:00.000,"0-1 Miles","Rosa Wu","45-54"
18038,207,"AW00018038","","Kelli","","Kumar",False,1975-05-18 00:00:00.000,"S","","F","kelli30@adventure-works.com",30000,0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé",0,1,"76, rue Pierre-Demoulin","","1 (11) 500 555-0175",2006-02-11 00:00:00.000,"2-5 Miles","Kelli Kumar","45-54"
